t_ms,equity
1630270800000,10000.00
1630271100000,10000.00
1630271400000,10000.00
1630271700000,10000.00
1630272000000,10000.00
1630272300000,10000.00
1630272600000,10000.00
1630272900000,10000.00
1630273200000,10000.00
1630273500000,10000.00
1630273800000,10000.00
1630274100000,10000.00
1630274400000,10000.00
1630274700000,10000.00
1630275000000,10000.00
1630275300000,10000.00
1630275600000,10000.00
1630275900000,10000.00
1630276200000,10000.00
1630276500000,10000.00
1630276800000,10000.00
1630277100000,10000.00
1630277400000,10000.00
1630277700000,10000.00
1630278000000,10000.00
1630278300000,10000.00
1630278600000,10000.00
1630278900000,10000.00
1630279200000,10000.00
1630279500000,10000.00
1630279800000,10000.00
1630280100000,10000.00
1630280400000,10000.00
1630280700000,10000.00
1630281000000,10000.00
1630281300000,10000.00
1630281600000,10000.00
1630281900000,10000.00
1630282200000,10000.00
1630282500000,10000.00
1630282800000,10000.00
1630283100000,10000.00
1630283400000,10000.00
1630283700000,10000.00
1630284000000,10000.00
1630284300000,10000.00
1630284600000,10000.00
1630284900000,10000.00
1630285200000,10000.00
1630285500000,10000.00
1630285800000,10000.00
1630286100000,10000.00
1630286400000,10000.00
1630286700000,10000.00
1630287000000,10000.00
1630287300000,10000.00
1630287600000,10000.00
1630287900000,10000.00
1630288200000,10000.00
1630288500000,10000.00
1630288800000,10000.00
1630289100000,10000.00
1630289400000,10000.00
1630289700000,10000.00
1630290000000,10000.00
1630290300000,10000.00
1630290600000,10000.00
1630290900000,10000.00
1630291200000,10000.00
1630291500000,10000.00
1630291800000,10000.00
1630292100000,10000.00
1630292400000,10000.00
1630292700000,10000.00
1630293000000,10000.00
1630293300000,10000.00
1630293600000,10000.00
1630293900000,10000.00
1630294200000,10000.00
1630294500000,10000.00
1630294800000,10000.00
1630295100000,10000.00
1630295400000,10000.00
1630295700000,10000.00
1630296000000,10000.00
1630296300000,10000.00
1630296600000,10000.00
1630296900000,10000.00
1630297200000,10000.00
1630297500000,10000.00
1630297800000,10000.00
1630298100000,10000.00
1630298400000,10000.00
1630298700000,10000.00
1630299000000,10000.00
1630299300000,10000.00
1630299600000,10000.00
1630299900000,10000.00
1630300200000,10000.00
1630300500000,10000.00
1630300800000,10000.00
1630301100000,10000.00
1630301400000,10000.00
1630301700000,10000.00
1630302000000,10000.00
1630302300000,10000.00
1630302600000,10000.00
1630302900000,10000.00
1630303200000,10000.00
1630303500000,10000.00
1630303800000,10000.00
1630304100000,10000.00
1630304400000,10000.00
1630304700000,10000.00
1630305000000,10000.00
1630305300000,10000.00
1630305600000,10000.00
1630305900000,10000.00
1630306200000,10000.00
1630306500000,10000.00
1630306800000,10000.00
1630307100000,10000.00
1630307400000,10000.00
1630307700000,10000.00
1630308000000,10000.00
1630308300000,10000.00
1630308600000,10000.00
1630308900000,10000.00
1630309200000,10000.00
1630309500000,10000.00
1630309800000,10000.00
1630310100000,10000.00
1630310400000,10000.00
1630310700000,10000.00
1630311000000,10000.00
1630311300000,10000.00
1630311600000,10000.00
1630311900000,10000.00
1630312200000,10000.00
1630312500000,10000.00
1630312800000,10000.00
1630313100000,10000.00
1630313400000,10000.00
1630313700000,10000.00
1630314000000,10000.00
1630314300000,10000.00
1630314600000,10000.00
1630314900000,10000.00
1630315200000,10000.00
1630315500000,10000.00
1630315800000,10000.00
1630316100000,10000.00
1630316400000,10000.00
1630316700000,10000.00
1630317000000,10000.00
1630317300000,10000.00
1630317600000,10000.00
1630317900000,10000.00
1630318200000,10000.00
1630318500000,10000.00
1630318800000,10000.00
1630319100000,10000.00
1630319400000,10000.00
1630319700000,10000.00
1630320000000,10000.00
1630320300000,10000.00
1630320600000,10000.00
1630320900000,10000.00
1630321200000,10000.00
1630321500000,10000.00
1630321800000,10000.00
1630322100000,10000.00
1630322400000,10000.00
1630322700000,10000.00
1630323000000,10000.00
1630323300000,10000.00
