t_ms,equity
1787518800000,400.00
1787519100000,400.00
1787519400000,400.00
1787519700000,400.00
1787520000000,400.00
1787520300000,400.00
1787520600000,400.00
1787520900000,400.00
1787521200000,400.00
1787521500000,400.00
1787521800000,400.00
1787522100000,400.00
1787522400000,400.00
1787522700000,400.00
1787523000000,400.00
1787523300000,400.00
1787523600000,400.00
1787523900000,400.00
1787524200000,400.00
1787524500000,400.00
1787524800000,400.00
1787525100000,400.00
1787525400000,400.00
1787525700000,400.00
1787526000000,400.00
1787526300000,400.00
1787526600000,400.00
1787526900000,400.00
1787527200000,400.00
1787527500000,400.00
1787527800000,400.00
1787528100000,400.00
1787528400000,400.00
1787528700000,400.00
1787529000000,400.00
1787529300000,400.00
1787529600000,400.00
1787529900000,400.00
1787530200000,400.00
1787530500000,400.00
1787530800000,400.00
1787531100000,400.00
1787531400000,400.00
1787531700000,400.00
1787532000000,400.00
1787532300000,400.00
1787532600000,400.00
1787532900000,400.00
1787533200000,400.00
1787533500000,400.00
1787533800000,400.00
1787534100000,400.00
1787534400000,400.00
1787534700000,400.00
1787535000000,400.00
1787535300000,400.00
1787535600000,400.00
1787535900000,400.00
1787536200000,400.00
1787536500000,400.00
1787536800000,400.00
1787537100000,400.00
1787537400000,400.00
1787537700000,400.00
1787538000000,400.00
1787538300000,400.00
1787538600000,400.00
1787538900000,400.00
1787539200000,400.00
1787539500000,400.00
1787539800000,400.00
1787540100000,400.00
1787540400000,400.00
1787540700000,400.00
1787541000000,400.00
1787541300000,400.00
1787541600000,400.00
1787541900000,400.00
1787542200000,400.00
1787542500000,400.00
1787542800000,400.00
1787543100000,400.00
1787543400000,400.00
1787543700000,400.00
1787544000000,400.00
1787544300000,400.00
1787544600000,400.00
1787544900000,400.00
1787545200000,400.00
1787545500000,400.00
1787545800000,400.00
1787546100000,400.00
1787546400000,400.00
1787546700000,400.00
1787547000000,400.00
1787547300000,400.00
1787547600000,400.00
1787547900000,400.00
1787548200000,400.00
1787548500000,400.00
1787548800000,400.00
1787549100000,400.00
1787549400000,400.00
1787549700000,400.00
1787550000000,400.00
1787550300000,400.00
1787550600000,400.00
1787550900000,400.00
1787551200000,400.00
1787551500000,400.00
1787551800000,400.00
1787552100000,400.00
1787552400000,400.00
1787552700000,400.00
1787553000000,400.00
1787553300000,400.00
1787553600000,400.00
1787553900000,400.00
1787554200000,400.00
1787554500000,400.00
1787554800000,400.00
1787555100000,400.00
1787555400000,400.00
1787555700000,400.00
1787556000000,400.00
1787556300000,400.00
1787556600000,400.00
1787556900000,400.00
1787557200000,400.00
1787557500000,400.00
1787557800000,400.00
1787558100000,400.00
1787558400000,400.00
1787558700000,400.00
1787559000000,400.00
1787559300000,400.00
1787559600000,400.00
1787559900000,400.00
1787560200000,400.00
1787560500000,400.00
1787560800000,400.00
1787561100000,400.00
1787561400000,400.00
1787561700000,400.00
1787562000000,400.00
1787562300000,400.00
1787562600000,400.00
1787562900000,400.00
1787563200000,400.00
1787563500000,400.00
1787563800000,400.00
1787564100000,400.00
1787564400000,400.00
1787564700000,400.00
1787565000000,400.00
1787565300000,400.00
1787565600000,400.00
1787565900000,400.00
1787566200000,400.00
1787566500000,400.00
1787566800000,400.00
1787567100000,400.00
1787567400000,400.00
1787567700000,400.00
1787568000000,400.00
1787568300000,400.00
1787568600000,400.00
1787568900000,400.00
1787569200000,400.00
1787569500000,400.00
1787569800000,400.00
1787570100000,400.00
1787570400000,400.00
1787570700000,400.00
1787571000000,400.00
1787571300000,400.00
1787571600000,400.00
1787571900000,400.00
1787572200000,400.00
1787572500000,400.00
1787572800000,400.00
1787573100000,400.00
1787573400000,400.00
1787573700000,400.00
1787574000000,400.00
1787574300000,400.00
1787574600000,400.00
1787574900000,400.00
1787575200000,400.00
1787575500000,400.00
1787575800000,400.00
1787576100000,400.00
1787576400000,400.00
1787576700000,400.00
1787577000000,400.00
1787577300000,400.00
1787577600000,400.00
1787577900000,400.00
1787578200000,400.00
1787578500000,400.00
1787578800000,400.00
1787579100000,400.00
1787579400000,400.00
1787579700000,400.00
1787580000000,400.00
1787580300000,400.00
1787580600000,400.00
1787580900000,400.00
1787581200000,400.00
1787581500000,400.00
1787581800000,400.00
1787582100000,400.00
1787582400000,400.00
1787582700000,400.00
1787583000000,400.00
1787583300000,400.00
1787583600000,400.00
1787583900000,400.00
1787584200000,400.00
1787584500000,400.00
1787584800000,400.00
1787585100000,400.00
1787585400000,400.00
1787585700000,400.00
1787586000000,400.00
1787586300000,400.00
1787586600000,400.00
1787586900000,400.00
1787587200000,400.00
1787587500000,400.00
1787587800000,400.00
1787588100000,400.00
1787588400000,400.00
1787588700000,400.00
1787589000000,400.00
1787589300000,400.00
1787589600000,400.00
1787589900000,400.00
1787590200000,400.00
1787590500000,400.00
1787590800000,400.00
1787591100000,400.00
1787591400000,400.00
1787591700000,400.00
1787592000000,400.00
1787592300000,400.00
1787592600000,400.00
1787592900000,400.00
1787593200000,400.00
1787593500000,400.00
1787593800000,400.00
1787594100000,400.00
1787594400000,400.00
1787594700000,400.00
1787595000000,400.00
1787595300000,400.00
1787595600000,400.00
1787595900000,400.00
1787596200000,400.00
