t_ms,equity
1767304800000,500.00
1767305100000,500.00
1767305400000,500.00
1767305700000,500.00
1767306000000,500.00
1767306300000,500.00
1767306600000,500.00
1767306900000,500.00
1767307200000,500.00
1767307500000,500.00
1767307800000,500.00
1767308100000,500.00
1767308400000,500.00
1767308700000,500.00
1767309000000,500.00
1767309300000,500.00
1767309600000,500.00
1767309900000,500.00
1767310200000,500.00
1767310500000,500.00
1767310800000,500.00
1767311100000,500.00
1767311400000,500.00
1767311700000,500.00
1767312000000,500.00
1767312300000,500.00
1767312600000,500.00
1767312900000,500.00
1767313200000,500.00
1767313500000,500.00
1767313800000,500.00
1767314100000,500.00
1767314400000,500.00
1767314700000,500.00
1767315000000,500.00
1767315300000,500.00
1767315600000,500.00
1767315900000,500.00
1767316200000,500.00
1767316500000,500.00
1767316800000,500.00
1767317100000,500.00
1767317400000,500.00
1767317700000,500.00
1767318000000,500.00
1767318300000,500.00
1767318600000,500.00
1767318900000,500.00
1767319200000,500.00
1767319500000,500.00
1767319800000,500.00
1767320100000,500.00
1767320400000,500.00
1767320700000,500.00
1767321000000,500.00
1767321300000,500.00
1767321600000,500.00
1767321900000,500.00
1767322200000,500.00
1767322500000,500.00
1767322800000,500.00
1767323100000,500.00
1767323400000,500.00
1767323700000,500.00
1767324000000,500.00
1767324300000,500.00
1767324600000,500.00
1767324900000,500.00
1767325200000,500.00
1767325500000,500.00
1767325800000,500.00
1767326100000,500.00
1767326400000,500.00
1767326700000,500.00
1767327000000,500.00
1767327300000,500.00
1767327600000,500.00
1767327900000,500.00
1767328200000,500.00
1767328500000,500.00
1767328800000,500.00
1767329100000,500.00
1767329400000,500.00
1767329700000,500.00
1767330000000,500.00
1767330300000,500.00
1767330600000,500.00
1767330900000,500.00
1767331200000,500.00
1767331500000,500.00
1767331800000,500.00
1767332100000,500.00
1767332400000,500.00
1767332700000,500.00
1767333000000,500.00
1767333300000,500.00
1767333600000,500.00
1767333900000,500.00
1767334200000,500.00
1767334500000,500.00
1767334800000,500.00
1767335100000,500.00
1767335400000,500.00
1767335700000,500.00
1767336000000,500.00
1767336300000,500.00
1767336600000,500.00
1767336900000,500.00
1767337200000,500.00
1767337500000,500.00
1767337800000,500.00
1767338100000,500.00
1767338400000,500.00
1767338700000,500.00
1767339000000,500.00
1767339300000,500.00
1767339600000,500.00
1767339900000,500.00
1767340200000,500.00
1767340500000,500.00
1767340800000,500.00
1767341100000,500.00
1767341400000,500.00
1767341700000,500.00
1767342000000,500.00
1767342300000,500.00
1767342600000,500.00
1767342900000,500.00
1767343200000,500.00
1767343500000,500.00
1767343800000,500.00
1767344100000,500.00
1767344400000,500.00
1767344700000,500.00
1767345000000,500.00
1767345300000,500.00
1767345600000,500.00
1767345900000,500.00
1767346200000,500.00
1767346500000,500.00
1767346800000,500.00
1767347100000,500.00
1767347400000,500.00
1767347700000,500.00
1767348000000,500.00
1767348300000,500.00
1767348600000,500.00
1767348900000,500.00
1767349200000,500.00
1767349500000,500.00
1767349800000,500.00
1767350100000,500.00
1767350400000,500.00
1767350700000,500.00
1767351000000,500.00
1767351300000,500.00
1767351600000,500.00
1767351900000,500.00
1767352200000,500.00
1767352500000,500.00
1767352800000,500.00
1767353100000,500.00
1767353400000,500.00
1767353700000,500.00
1767354000000,500.00
1767354300000,500.00
1767354600000,500.00
1767354900000,500.00
1767355200000,500.00
1767355500000,500.00
1767355800000,500.00
1767356100000,500.00
1767356400000,500.00
1767356700000,500.00
1767357000000,500.00
1767357300000,500.00
1767357600000,500.00
1767357900000,500.00
1767358200000,500.00
1767358500000,500.00
1767358800000,500.00
1767359100000,500.00
1767359400000,500.00
1767359700000,500.00
1767360000000,500.00
1767360300000,500.00
1767360600000,500.00
1767360900000,500.00
1767361200000,500.00
1767361500000,500.00
1767361800000,500.00
1767362100000,500.00
1767362400000,500.00
1767362700000,500.00
1767363000000,500.00
1767363300000,500.00
1767363600000,500.00
1767363900000,500.00
1767364200000,500.00
1767364500000,500.00
1767364800000,500.00
1767365100000,500.00
1767365400000,500.00
1767365700000,500.00
1767366000000,500.00
1767366300000,500.00
1767366600000,500.00
1767366900000,500.00
1767367200000,500.00
1767367500000,500.00
1767367800000,500.00
1767368100000,500.00
1767368400000,500.00
1767368700000,500.00
1767369000000,500.00
1767369300000,500.00
1767369600000,500.00
1767369900000,500.00
1767370200000,500.00
1767370500000,500.00
1767370800000,500.00
1767371100000,500.00
1767371400000,500.00
1767371700000,500.00
1767372000000,500.00
1767372300000,500.00
1767372600000,500.00
1767372900000,500.00
1767373200000,500.00
1767373500000,500.00
1767373800000,500.00
1767374100000,500.00
1767374400000,500.00
1767374700000,500.00
1767375000000,500.00
1767375300000,500.00
1767375600000,500.00
1767375900000,500.00
1767376200000,500.00
1767376500000,500.00
1767376800000,500.00
1767377100000,500.00
1767377400000,500.00
1767377700000,500.00
1767378000000,500.00
1767378300000,500.00
1767378600000,500.00
1767378900000,500.00
1767379200000,500.00
1767379500000,500.00
1767379800000,500.00
1767380100000,500.00
1767380400000,500.00
1767380700000,500.00
1767381000000,500.00
1767381300000,500.00
1767381600000,500.00
1767381900000,500.00
1767382200000,500.00
1767382500000,500.00
1767382800000,500.00
1767383100000,500.00
1767383400000,500.00
1767383700000,500.00
1767384000000,500.00
1767384300000,500.00
1767384600000,500.00
1767384900000,500.00
1767385200000,500.00
1767385500000,500.00
1767385800000,500.00
1767386100000,500.00
1767386400000,500.00
1767386700000,500.00
1767387000000,500.00
1767387300000,500.00
1767387600000,500.00
1767387900000,500.00
1767388200000,500.00
1767388500000,500.00
1767388800000,500.00
1767389100000,500.00
1767389400000,500.00
1767389700000,500.00
1767390000000,500.00
1767390300000,500.00
1767390600000,500.00
1767390900000,500.00
1767564000000,500.00
1767564300000,500.00
1767564600000,500.00
1767564900000,500.00
1767565200000,500.00
1767565500000,500.00
1767565800000,500.00
1767566100000,500.00
1767566400000,500.00
1767566700000,500.00
1767567000000,500.00
1767567300000,500.00
1767567600000,500.00
1767567900000,500.00
1767568200000,500.00
1767568500000,500.00
1767568800000,500.00
1767569100000,500.00
1767569400000,500.00
1767569700000,500.00
1767570000000,500.00
1767570300000,500.00
1767570600000,500.00
1767570900000,500.00
1767571200000,500.00
1767571500000,500.00
1767571800000,500.00
1767572100000,500.00
1767572400000,500.00
1767572700000,500.00
1767573000000,500.00
1767573300000,500.00
1767573600000,500.00
1767573900000,500.00
1767574200000,500.00
1767574500000,500.00
1767574800000,500.00
1767575100000,500.00
1767575400000,500.00
1767575700000,500.00
1767576000000,500.00
1767576300000,500.00
1767576600000,500.00
1767576900000,500.00
1767577200000,500.00
1767577500000,500.00
1767577800000,500.00
1767578100000,500.00
1767578400000,500.00
1767578700000,500.00
1767579000000,500.00
1767579300000,500.00
1767579600000,500.00
1767579900000,500.00
1767580200000,500.00
1767580500000,500.00
1767580800000,500.00
1767581100000,500.00
1767581400000,500.00
1767581700000,500.00
1767582000000,500.00
1767582300000,500.00
1767582600000,500.00
1767582900000,500.00
1767583200000,500.00
1767583500000,500.00
1767583800000,500.00
1767584100000,500.00
1767584400000,500.00
1767584700000,500.00
1767585000000,500.00
1767585300000,500.00
1767585600000,500.00
1767585900000,500.00
1767586200000,500.00
1767586500000,500.00
1767586800000,500.00
1767587100000,500.00
1767587400000,500.00
1767587700000,500.00
1767588000000,500.00
1767588300000,500.00
1767588600000,500.00
1767588900000,500.00
1767589200000,500.00
1767589500000,500.00
1767589800000,500.00
1767590100000,500.00
1767590400000,500.00
1767590700000,500.00
1767591000000,500.00
1767591300000,500.00
1767591600000,500.00
1767591900000,500.00
1767592200000,500.00
1767592500000,500.00
1767592800000,500.00
1767593100000,500.00
1767593400000,500.00
1767593700000,500.00
1767594000000,500.00
1767594300000,500.00
1767594600000,500.00
1767594900000,500.00
1767595200000,500.00
1767595500000,500.00
1767595800000,500.00
1767596100000,500.00
1767596400000,500.00
1767596700000,500.00
1767597000000,500.00
1767597300000,500.00
1767597600000,500.00
1767597900000,500.00
1767598200000,500.00
1767598500000,500.00
1767598800000,500.00
1767599100000,500.00
1767599400000,500.00
