t_ms,equity
1724803200000,400.00
1724803500000,400.00
1724803800000,400.00
1724804100000,400.00
1724804400000,400.00
1724804700000,400.00
1724805000000,400.00
1724805300000,400.00
1724805600000,400.00
1724805900000,400.00
1724806200000,400.00
1724806500000,400.00
1724806800000,400.00
1724807100000,400.00
1724807400000,400.00
1724807700000,400.00
1724808000000,400.00
1724808300000,400.00
1724808600000,400.00
1724808900000,400.00
1724809200000,400.00
1724809500000,400.00
1724809800000,400.00
1724810100000,400.00
1724810400000,400.00
1724810700000,400.00
1724811000000,400.00
1724811300000,400.00
1724811600000,400.00
1724811900000,400.00
1724812200000,400.00
1724812500000,400.00
1724812800000,400.00
1724813100000,400.00
1724813400000,400.00
1724813700000,400.00
1724814000000,400.00
1724814300000,400.00
1724814600000,400.00
1724814900000,400.00
1724815200000,400.00
1724815500000,400.00
1724815800000,400.00
1724816100000,400.00
1724816400000,400.00
1724816700000,400.00
1724817000000,400.00
1724817300000,400.00
1724817600000,400.00
1724817900000,400.00
1724818200000,400.00
1724818500000,400.00
1724818800000,400.00
1724819100000,400.00
1724819400000,400.00
1724819700000,400.00
1724820000000,400.00
1724820300000,400.00
1724820600000,400.00
1724820900000,400.00
1724821200000,400.00
1724821500000,400.00
1724821800000,400.00
1724822100000,400.00
1724822400000,400.00
1724822700000,400.00
1724823000000,400.00
1724823300000,400.00
1724823600000,400.00
1724823900000,400.00
1724824200000,400.00
1724824500000,400.00
1724824800000,400.00
1724825100000,400.00
1724825400000,400.00
1724825700000,400.00
1724826000000,400.00
1724826300000,400.00
1724826600000,400.00
1724826900000,400.00
1724827200000,400.00
1724827500000,400.00
1724827800000,400.00
1724828100000,400.00
1724828400000,400.00
1724828700000,400.00
1724829000000,400.00
1724829300000,400.00
1724829600000,400.00
1724829900000,400.00
1724830200000,400.00
1724830500000,400.00
1724830800000,400.00
1724831100000,400.00
1724831400000,400.00
1724831700000,400.00
1724832000000,400.00
1724832300000,400.00
1724832600000,400.00
1724832900000,400.00
1724833200000,400.00
1724833500000,400.00
1724833800000,400.00
1724834100000,400.00
1724834400000,400.00
1724834700000,400.00
1724835000000,400.00
1724835300000,400.00
1724835600000,400.00
1724835900000,400.00
1724836200000,400.00
1724836500000,400.00
1724836800000,400.00
1724837100000,400.00
1724837400000,400.00
1724837700000,400.00
1724838000000,400.00
1724838300000,400.00
1724838600000,400.00
1724838900000,400.00
1724839200000,400.00
1724839500000,400.00
1724839800000,400.00
1724840100000,400.00
1724840400000,400.00
1724840700000,400.00
1724841000000,400.00
1724841300000,400.00
1724841600000,400.00
1724841900000,400.00
1724842200000,400.00
1724842500000,400.00
1724842800000,400.00
1724843100000,400.00
1724843400000,400.00
1724843700000,400.00
1724844000000,400.00
1724844300000,400.00
1724844600000,400.00
1724844900000,400.00
1724845200000,400.00
1724845500000,400.00
1724845800000,400.00
1724846100000,400.00
1724846400000,400.00
1724846700000,400.00
1724847000000,400.00
1724847300000,400.00
1724847600000,400.00
1724847900000,400.00
1724848200000,400.00
1724848500000,400.00
1724848800000,400.00
1724849100000,400.00
1724849400000,400.00
1724849700000,400.00
1724850000000,400.00
1724850300000,400.00
1724850600000,400.00
1724850900000,400.00
1724851200000,400.00
1724851500000,400.00
1724851800000,400.00
1724852100000,400.00
1724852400000,400.00
1724852700000,400.00
1724853000000,400.00
1724853300000,400.00
1724853600000,400.00
1724853900000,400.00
1724854200000,400.00
1724854500000,400.00
1724854800000,400.00
1724855100000,400.00
1724855400000,400.00
1724855700000,400.00
1724856000000,400.00
1724856300000,400.00
1724856600000,400.00
1724856900000,400.00
1724857200000,400.00
1724857500000,400.00
1724857800000,400.00
1724858100000,400.00
1724858400000,400.00
1724858700000,400.00
1724859000000,400.00
1724859300000,400.00
1724859600000,400.00
1724859900000,400.00
1724860200000,400.00
1724860500000,400.00
1724860800000,400.00
1724861100000,400.00
1724861400000,400.00
1724861700000,400.00
1724862000000,400.00
1724862300000,400.00
1724862600000,400.00
1724862900000,400.00
1724863200000,400.00
1724863500000,400.00
1724863800000,400.00
1724864100000,400.00
1724864400000,400.00
1724864700000,400.00
1724865000000,400.00
1724865300000,400.00
1724865600000,400.00
1724865900000,400.00
1724866200000,400.00
1724866500000,400.00
1724866800000,400.00
1724867100000,400.00
1724867400000,400.00
1724867700000,400.00
1724868000000,400.00
1724868300000,400.00
1724868600000,400.00
1724868900000,400.00
1724869200000,400.00
1724869500000,400.00
1724869800000,400.00
1724870100000,400.00
1724870400000,400.00
1724870700000,400.00
1724871000000,400.00
1724871300000,400.00
1724871600000,400.00
1724871900000,400.00
1724872200000,400.00
1724872500000,400.00
1724872800000,400.00
1724873100000,400.00
1724873400000,400.00
1724873700000,400.00
1724874000000,400.00
1724874300000,400.00
1724874600000,400.00
1724874900000,400.00
1724875200000,400.00
1724875500000,400.00
1724875800000,400.00
1724876100000,400.00
1724876400000,400.00
1724876700000,400.00
1724877000000,400.00
1724877300000,400.00
1724877600000,400.00
1724877900000,400.00
1724878200000,400.00
1724878500000,400.00
1724878800000,400.00
1724879100000,400.00
1724879400000,400.00
1724879700000,400.00
1724880000000,400.00
1724880300000,400.00
1724880600000,400.00
1724880900000,400.00
1724881200000,400.00
1724881500000,400.00
1724881800000,400.00
1724882100000,400.00
1724882400000,400.00
1724882700000,400.00
1724883000000,400.00
1724883300000,400.00
1724883600000,400.00
1724883900000,400.00
1724884200000,400.00
1724884500000,400.00
1724884800000,400.00
1724885100000,400.00
1724885400000,400.00
1724885700000,400.00
1724886000000,400.00
1724886300000,400.00
1724886600000,400.00
1724886900000,400.00
1724887200000,400.00
1724887500000,400.00
1724887800000,400.00
1724888100000,400.00
1724888400000,400.00
1724888700000,400.00
1724889000000,400.00
1724889300000,400.00
1724889600000,400.00
1724889900000,400.00
1724890200000,400.00
1724890500000,400.00
1724890800000,400.00
1724891100000,400.00
1724891400000,400.00
1724891700000,400.00
1724892000000,400.00
1724892300000,400.00
1724892600000,400.00
1724892900000,400.00
1724893200000,400.00
1724893500000,400.00
1724893800000,400.00
1724894100000,400.00
1724894400000,400.00
1724894700000,400.00
1724895000000,400.00
1724895300000,400.00
1724895600000,400.00
1724895900000,400.00
1724896200000,400.00
1724896500000,400.00
1724896800000,400.00
1724897100000,400.00
1724897400000,400.00
1724897700000,400.00
1724898000000,400.00
1724898300000,400.00
1724898600000,400.00
1724898900000,400.00
1724899200000,400.00
1724899500000,400.00
1724899800000,400.00
1724900100000,400.00
1724900400000,400.00
